https://www.akc.org/expert-advice/nutrition/breed-weight-chart/
Breed	Weight Male	Weight Female
Tibetan Mastiffs	90-150 pounds	70-120 pounds
Tibetan Terriers	18-30 pounds	slightly smaller
Tibetan Spaniel	9-15 pounds	9-15 pounds
Toy Fox Terriers	3.5-7 pounds	3.5-7 pounds
Treeing Walker Coonhounds	50-70 pounds	50-70 pounds
Vizslas	55-60 pounds	44-55 pounds
Weimaraners	70-90 pounds	55-75 pounds
Welsh Terriers	20 pounds	proportionally smaller
West Highland White Terriers	15-20 pounds	15-20 pounds
Whippets	25-40 pounds	25-40 pounds
Wirehaired Pointing Griffons	50-70 pounds	35 and 50 pounds
Wirehaired Vizslas	55-65 pounds	45-55 pounds
Xoloitzcuintli	10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)	10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)
Yorkshire Terriers	7 pounds	7 pounds
