,ecosystem,species,year,biomass,abundance,biomass_index,abundance_index,avg_len,avg_mass,source,agency,season,species_lower
247,CB,Blue_crab_YOY,1996,,,,5.87,0.0323,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
248,CB,Blue_crab_YOY,1997,,,,4.37,0.0387,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
249,CB,Blue_crab_YOY,1998,,,,8.42,0.0384,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
250,CB,Blue_crab_YOY,1999,,,,2.89,0.0374,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
251,CB,Blue_crab_YOY,2000,,,,3.05,0.0333,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
252,CB,Blue_crab_YOY,2001,,,,2.64,0.0343,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
253,CB,Blue_crab_YOY,2002,,,,2.66,0.0363,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
254,CB,Blue_crab_YOY,2003,,,,8.39,0.0319,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
255,CB,Blue_crab_YOY,2004,,,,4.24,0.0327,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
256,CB,Blue_crab_YOY,2005,,,,7.43,0.0283,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
257,CB,Blue_crab_YOY,2006,,,,5.18,0.0314,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
258,CB,Blue_crab_YOY,2007,,,,2.14,0.0379,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
259,CB,Blue_crab_YOY,2008,,,,3.3,0.0329,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
260,CB,Blue_crab_YOY,2009,,,,5.92,0.0303,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
261,CB,Blue_crab_YOY,2010,,,,5.19,0.0342,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,blue_crab_yoy
302,CB,Channel_catfish_YOY,1988,,,,0.02,0.1035,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
303,CB,Channel_catfish_YOY,1989,,,,1.92,0.0885,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
304,CB,Channel_catfish_YOY,1990,,,,0.04,0.1198,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
305,CB,Channel_catfish_YOY,1991,,,,0.03,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
306,CB,Channel_catfish_YOY,1992,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
307,CB,Channel_catfish_YOY,1993,,,,0.04,0.1,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
308,CB,Channel_catfish_YOY,1994,,,,0.05,0.0937,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
309,CB,Channel_catfish_YOY,1995,,,,0.22,0.097,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
310,CB,Channel_catfish_YOY,1996,,,,0.13,0.0856,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
311,CB,Channel_catfish_YOY,1997,,,,0.05,0.1078,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
312,CB,Channel_catfish_YOY,1998,,,,0.06,0.1116,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
313,CB,Channel_catfish_YOY,1999,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
314,CB,Channel_catfish_YOY,2000,,,,0.01,0.0783,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
315,CB,Channel_catfish_YOY,2001,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
316,CB,Channel_catfish_YOY,2002,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
317,CB,Channel_catfish_YOY,2003,,,,0.32,0.0918,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
318,CB,Channel_catfish_YOY,2004,,,,0.19,0.0827,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
319,CB,Channel_catfish_YOY,2005,,,,0.02,0.1142,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
320,CB,Channel_catfish_YOY,2006,,,,0.01,0.077,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
321,CB,Channel_catfish_YOY,2007,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
322,CB,Channel_catfish_YOY,2008,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
323,CB,Channel_catfish_YOY,2009,,,,0.01,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr,channel_catfish_yoy
450,CB,Silver_perch_YOY,1988,,,,0.61,0.1186,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
451,CB,Silver_perch_YOY,1989,,,,0.53,0.116,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
452,CB,Silver_perch_YOY,1990,,,,0.69,0.1243,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
453,CB,Silver_perch_YOY,1991,,,,0.35,0.123,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
454,CB,Silver_perch_YOY,1992,,,,0.81,0.1171,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
455,CB,Silver_perch_YOY,1993,,,,0.45,0.112,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
456,CB,Silver_perch_YOY,1994,,,,0.25,0.1211,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
457,CB,Silver_perch_YOY,1995,,,,0.58,0.127,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
458,CB,Silver_perch_YOY,1996,,,,0.59,0.1263,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
459,CB,Silver_perch_YOY,1997,,,,0.71,0.1209,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
460,CB,Silver_perch_YOY,1998,,,,0.24,0.1221,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
461,CB,Silver_perch_YOY,1999,,,,0.7,0.1141,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
462,CB,Silver_perch_YOY,2000,,,,0.68,0.1203,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
463,CB,Silver_perch_YOY,2001,,,,0.7,0.1317,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
464,CB,Silver_perch_YOY,2002,,,,0.44,0.1317,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
465,CB,Silver_perch_YOY,2003,,,,0.63,0.1276,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
466,CB,Silver_perch_YOY,2004,,,,0.34,0.117,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
467,CB,Silver_perch_YOY,2005,,,,0.76,0.1284,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
468,CB,Silver_perch_YOY,2006,,,,1.21,0.1232,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
469,CB,Silver_perch_YOY,2007,,,,0.75,0.1252,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
470,CB,Silver_perch_YOY,2008,,,,0.49,0.1182,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
471,CB,Silver_perch_YOY,2009,,,,1.0,0.1242,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
472,CB,Silver_perch_YOY,2010,,,,1.27,0.1247,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,silver_perch_yoy
482,CB,Spot_YOY,1988,,,,67.01,0.1153,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
483,CB,Spot_YOY,1989,,,,31.41,0.1351,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
484,CB,Spot_YOY,1990,,,,44.78,0.1312,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
485,CB,Spot_YOY,1991,,,,16.83,0.1377,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
486,CB,Spot_YOY,1992,,,,1.92,0.1577,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
487,CB,Spot_YOY,1993,,,,9.78,0.1349,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
488,CB,Spot_YOY,1994,,,,9.23,0.1277,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
489,CB,Spot_YOY,1995,,,,1.56,0.1595,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
490,CB,Spot_YOY,1996,,,,5.26,0.1417,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
491,CB,Spot_YOY,1997,,,,11.5,0.1315,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
492,CB,Spot_YOY,1998,,,,2.51,0.1373,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
493,CB,Spot_YOY,1999,,,,4.72,0.1369,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
494,CB,Spot_YOY,2000,,,,3.32,0.1407,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
495,CB,Spot_YOY,2001,,,,3.09,0.148,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
496,CB,Spot_YOY,2002,,,,2.89,0.1532,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
497,CB,Spot_YOY,2003,,,,2.85,0.145,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
498,CB,Spot_YOY,2004,,,,3.96,0.1367,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
499,CB,Spot_YOY,2005,,,,12.12,0.1148,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
500,CB,Spot_YOY,2006,,,,3.37,0.1443,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
501,CB,Spot_YOY,2007,,,,9.17,0.1356,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
502,CB,Spot_YOY,2008,,,,19.89,0.1302,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
503,CB,Spot_YOY,2009,,,,6.08,0.1433,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
504,CB,Spot_YOY,2010,,,,74.97,0.1111,,VIMS_Juvenile_Trawl,VIMS,Jul-Oct,spot_yoy
513,CB,Striped_bass_YOY,1988,,,,1.24,0.1222,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
514,CB,Striped_bass_YOY,1989,,,,1.65,0.1108,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
515,CB,Striped_bass_YOY,1990,,,,1.06,0.1308,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
516,CB,Striped_bass_YOY,1991,,,,1.09,0.1329,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
517,CB,Striped_bass_YOY,1992,,,,1.22,0.1229,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
518,CB,Striped_bass_YOY,1993,,,,2.52,0.1158,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
519,CB,Striped_bass_YOY,1994,,,,1.31,0.132,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
520,CB,Striped_bass_YOY,1995,,,,0.63,0.1228,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
521,CB,Striped_bass_YOY,1996,,,,0.61,0.1233,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
522,CB,Striped_bass_YOY,1997,,,,0.55,0.1244,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
523,CB,Striped_bass_YOY,1998,,,,0.89,0.1127,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
524,CB,Striped_bass_YOY,1999,,,,0.21,0.1251,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
525,CB,Striped_bass_YOY,2000,,,,1.54,0.1088,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
526,CB,Striped_bass_YOY,2001,,,,0.53,0.1296,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
527,CB,Striped_bass_YOY,2002,,,,0.71,0.1153,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
528,CB,Striped_bass_YOY,2003,,,,0.63,0.1237,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
529,CB,Striped_bass_YOY,2004,,,,0.33,0.1206,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
530,CB,Striped_bass_YOY,2005,,,,0.59,0.1157,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
531,CB,Striped_bass_YOY,2006,,,,0.27,0.117,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
532,CB,Striped_bass_YOY,2007,,,,0.37,0.1172,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
533,CB,Striped_bass_YOY,2008,,,,0.62,0.1168,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
534,CB,Striped_bass_YOY,2009,,,,0.48,0.1177,,VIMS_Juvenile_Trawl,VIMS,Dec-Feb_of_following_yr,striped_bass_yoy
544,CB,Summer_flounder_YOY,1988,,,,0.54,0.2327,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
545,CB,Summer_flounder_YOY,1989,,,,1.24,0.2135,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
546,CB,Summer_flounder_YOY,1990,,,,2.54,0.1947,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
547,CB,Summer_flounder_YOY,1991,,,,2.79,0.1867,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
548,CB,Summer_flounder_YOY,1992,,,,0.92,0.2201,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
549,CB,Summer_flounder_YOY,1993,,,,0.52,0.2485,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
550,CB,Summer_flounder_YOY,1994,,,,2.54,0.2075,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
551,CB,Summer_flounder_YOY,1995,,,,0.71,0.2327,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
552,CB,Summer_flounder_YOY,1996,,,,0.81,0.2438,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
553,CB,Summer_flounder_YOY,1997,,,,0.89,0.2285,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
554,CB,Summer_flounder_YOY,1998,,,,0.73,0.2457,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
555,CB,Summer_flounder_YOY,1999,,,,0.53,0.2399,,VIMS_Juvenile_Trawl,VIMS,Sep-Nov,summer_flounder_yoy
