,ecosystem,species,year,biomass,abundance,biomass_index,abundance_index,avg_len,avg_mass,source,agency,season
39,CB,Atlantic_croaker,2004,,,,0.96,0.1223,,VIMS_Juvenile_Trawl,VIMS,May-Aug
40,CB,Atlantic_croaker,2005,,,,0.47,0.1213,,VIMS_Juvenile_Trawl,VIMS,May-Aug
41,CB,Atlantic_croaker,2006,,,,1.27,0.1264,,VIMS_Juvenile_Trawl,VIMS,May-Aug
42,CB,Atlantic_croaker,2007,,,,1.04,0.1345,,VIMS_Juvenile_Trawl,VIMS,May-Aug
43,CB,Atlantic_croaker,2008,,,,4.1,0.1202,,VIMS_Juvenile_Trawl,VIMS,May-Aug
44,CB,Atlantic_croaker,2009,,,,1.82,0.1189,,VIMS_Juvenile_Trawl,VIMS,May-Aug
45,CB,Atlantic_croaker,2010,,,,2.12,0.1461,,VIMS_Juvenile_Trawl,VIMS,May-Aug
46,CB,Atlantic_croaker,2002,2.2993987153,,,11670.824107,0.25097653959,0.21092549233,ChesMMAP_Survey,VIMS,May-Sep
47,CB,Atlantic_croaker,2003,1.2386667292,,,5301.1030043,0.24201215548,0.19775531815,ChesMMAP_Survey,VIMS,May-Sep
48,CB,Atlantic_croaker,2004,4.6259038252,,,18360.3105,0.26245525178,0.26326139609,ChesMMAP_Survey,VIMS,May-Sep
49,CB,Atlantic_croaker,2005,2.9963525892,,,13337.858558,0.25694055965,0.2398441775,ChesMMAP_Survey,VIMS,May-Sep
50,CB,Atlantic_croaker,2006,3.0460449311,,,15192.37412,0.25341388369,0.23384237051,ChesMMAP_Survey,VIMS,May-Sep
51,CB,Atlantic_croaker,2007,2.1932498696,,,14723.714269,0.22325134653,0.1461847588,ChesMMAP_Survey,VIMS,May-Sep
52,CB,Atlantic_croaker,2008,0.50091743971,,,4372.2753972,0.21020911364,0.14759706051,ChesMMAP_Survey,VIMS,May-Sep
53,CB,Atlantic_croaker,2009,0.76054498051,,,6016.7050322,0.20365658333,0.109494315,ChesMMAP_Survey,VIMS,May-Sep
54,CB,Atlantic_croaker,2010,0.28253553736,,,2306.9031976,0.2029870709,0.11569527309,ChesMMAP_Survey,VIMS,May-Sep
55,CB,Atlantic_sharpnose_shark,1976,,,,0.01286,,,VIMS_Longline_Survey,VIMS,Jun-Sep
56,CB,Atlantic_sharpnose_shark,1977,,,,0.39926,,,VIMS_Longline_Survey,VIMS,Jun-Sep
57,CB,Atlantic_sharpnose_shark,1980,,,,1.22771,,,VIMS_Longline_Survey,VIMS,Jun-Sep
58,CB,Atlantic_sharpnose_shark,1981,,,,1.31375,,,VIMS_Longline_Survey,VIMS,Jun-Sep
59,CB,Atlantic_sharpnose_shark,1983,,,,1.10482,,,VIMS_Longline_Survey,VIMS,Jun-Sep
60,CB,Atlantic_sharpnose_shark,1987,,,,1.81038,,,VIMS_Longline_Survey,VIMS,Jun-Sep
61,CB,Atlantic_sharpnose_shark,1988,,,,0.62607,,,VIMS_Longline_Survey,VIMS,Jun-Sep
62,CB,Atlantic_sharpnose_shark,1989,,,,0.33563,,,VIMS_Longline_Survey,VIMS,Jun-Sep
63,CB,Atlantic_sharpnose_shark,1990,,,,0.96004,,,VIMS_Longline_Survey,VIMS,Jun-Sep
64,CB,Atlantic_sharpnose_shark,1991,,,,1.11643,,,VIMS_Longline_Survey,VIMS,Jun-Sep
65,CB,Atlantic_sharpnose_shark,1992,,,,0.87916,,,VIMS_Longline_Survey,VIMS,Jun-Sep
66,CB,Atlantic_sharpnose_shark,1993,,,,1.1188,,,VIMS_Longline_Survey,VIMS,Jun-Sep
67,CB,Atlantic_sharpnose_shark,1995,,,,0.96321,,,VIMS_Longline_Survey,VIMS,Jun-Sep
68,CB,Atlantic_sharpnose_shark,1996,,,,1.13564,,,VIMS_Longline_Survey,VIMS,Jun-Sep
69,CB,Atlantic_sharpnose_shark,1997,,,,0.7266,,,VIMS_Longline_Survey,VIMS,Jun-Sep
70,CB,Atlantic_sharpnose_shark,1998,,,,1.15191,,,VIMS_Longline_Survey,VIMS,Jun-Sep
71,CB,Atlantic_sharpnose_shark,1999,,,,2.14877,,,VIMS_Longline_Survey,VIMS,Jun-Sep
72,CB,Atlantic_sharpnose_shark,2000,,,,0.41025,,,VIMS_Longline_Survey,VIMS,Jun-Sep
73,CB,Atlantic_sharpnose_shark,2001,,,,0.90474,,,VIMS_Longline_Survey,VIMS,Jun-Sep
74,CB,Atlantic_sharpnose_shark,2002,,,,0.65631,,,VIMS_Longline_Survey,VIMS,Jun-Sep
75,CB,Atlantic_sharpnose_shark,2003,,,,0.55219,,,VIMS_Longline_Survey,VIMS,Jun-Sep
76,CB,Atlantic_sharpnose_shark,2004,,,,0.65026,,,VIMS_Longline_Survey,VIMS,Jun-Sep
77,CB,Atlantic_sharpnose_shark,2005,,,,2.7952,,,VIMS_Longline_Survey,VIMS,Jun-Sep
78,CB,Bay_anchovy_YOY,1988,,,,18.25,0.046,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
79,CB,Bay_anchovy_YOY,1989,,,,52.47,0.044,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
80,CB,Bay_anchovy_YOY,1990,,,,6.79,0.0468,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
81,CB,Bay_anchovy_YOY,1991,,,,22.51,0.0451,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
82,CB,Bay_anchovy_YOY,1992,,,,40.14,0.0474,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
83,CB,Bay_anchovy_YOY,1993,,,,43.31,0.046,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
84,CB,Bay_anchovy_YOY,1994,,,,14.67,0.0467,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
85,CB,Bay_anchovy_YOY,1995,,,,18.36,0.0476,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
86,CB,Bay_anchovy_YOY,1996,,,,15.31,0.0452,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
87,CB,Bay_anchovy_YOY,1997,,,,18.96,0.0453,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
88,CB,Bay_anchovy_YOY,1998,,,,30.26,0.047,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
89,CB,Bay_anchovy_YOY,1999,,,,15.47,0.0455,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
90,CB,Bay_anchovy_YOY,2000,,,,36.58,0.0431,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
91,CB,Bay_anchovy_YOY,2001,,,,9.55,0.0466,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
92,CB,Bay_anchovy_YOY,2002,,,,5.51,0.0475,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
93,CB,Bay_anchovy_YOY,2003,,,,18.03,0.0477,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
94,CB,Bay_anchovy_YOY,2004,,,,23.06,0.0461,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
95,CB,Bay_anchovy_YOY,2005,,,,22.27,0.0484,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
96,CB,Bay_anchovy_YOY,2006,,,,19.31,0.0461,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
97,CB,Bay_anchovy_YOY,2007,,,,23.76,0.0468,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
98,CB,Bay_anchovy_YOY,2008,,,,50.29,0.0436,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
99,CB,Bay_anchovy_YOY,2009,,,,30.12,0.048,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
100,CB,Bay_anchovy_YOY,2010,,,,84.92,0.0463,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
101,CB,Black_sea_bass_YOY,1988,,,,0.84,0.0902,,VIMS_Juvenile_Trawl,VIMS,May-Jul
102,CB,Black_sea_bass_YOY,1989,,,,2.36,0.099,,VIMS_Juvenile_Trawl,VIMS,May-Jul
103,CB,Black_sea_bass_YOY,1990,,,,1.12,0.0935,,VIMS_Juvenile_Trawl,VIMS,May-Jul
104,CB,Black_sea_bass_YOY,1991,,,,1.28,0.0926,,VIMS_Juvenile_Trawl,VIMS,May-Jul
105,CB,Black_sea_bass_YOY,1992,,,,0.22,0.0947,,VIMS_Juvenile_Trawl,VIMS,May-Jul
106,CB,Black_sea_bass_YOY,1993,,,,1.05,0.0859,,VIMS_Juvenile_Trawl,VIMS,May-Jul
107,CB,Black_sea_bass_YOY,1994,,,,1.06,0.0982,,VIMS_Juvenile_Trawl,VIMS,May-Jul
108,CB,Black_sea_bass_YOY,1995,,,,0.5,0.1045,,VIMS_Juvenile_Trawl,VIMS,May-Jul
109,CB,Black_sea_bass_YOY,1996,,,,0.36,0.0962,,VIMS_Juvenile_Trawl,VIMS,May-Jul
110,CB,Black_sea_bass_YOY,1997,,,,0.46,0.0942,,VIMS_Juvenile_Trawl,VIMS,May-Jul
111,CB,Black_sea_bass_YOY,1998,,,,0.57,0.0909,,VIMS_Juvenile_Trawl,VIMS,May-Jul
112,CB,Black_sea_bass_YOY,1999,,,,0.58,0.1002,,VIMS_Juvenile_Trawl,VIMS,May-Jul
113,CB,Black_sea_bass_YOY,2000,,,,0.74,0.0931,,VIMS_Juvenile_Trawl,VIMS,May-Jul
114,CB,Black_sea_bass_YOY,2001,,,,1.29,0.1016,,VIMS_Juvenile_Trawl,VIMS,May-Jul
115,CB,Black_sea_bass_YOY,2002,,,,0.64,0.0893,,VIMS_Juvenile_Trawl,VIMS,May-Jul
116,CB,Black_sea_bass_YOY,2003,,,,0.12,0.1022,,VIMS_Juvenile_Trawl,VIMS,May-Jul
117,CB,Black_sea_bass_YOY,2004,,,,0.06,0.077,,VIMS_Juvenile_Trawl,VIMS,May-Jul
118,CB,Black_sea_bass_YOY,2005,,,,0.19,0.0916,,VIMS_Juvenile_Trawl,VIMS,May-Jul
119,CB,Black_sea_bass_YOY,2006,,,,0.44,0.0949,,VIMS_Juvenile_Trawl,VIMS,May-Jul
120,CB,Black_sea_bass_YOY,2007,,,,0.83,0.098,,VIMS_Juvenile_Trawl,VIMS,May-Jul
121,CB,Black_sea_bass_YOY,2008,,,,0.41,0.088,,VIMS_Juvenile_Trawl,VIMS,May-Jul
122,CB,Black_sea_bass_YOY,2009,,,,0.32,0.1073,,VIMS_Juvenile_Trawl,VIMS,May-Jul
123,CB,Black_seabass,2002,0.0018255664757,,,20.152753133,0.16796969697,0.087696969697,ChesMMAP_Survey,VIMS,Jul-Nov
124,CB,Black_seabass,2003,0.00058295149479,,,14.11597484,0.17916216216,0.104,ChesMMAP_Survey,VIMS,Jul-Nov
125,CB,Black_seabass,2004,0.00067792110346,,,7.3432107274,0.211,0.15871428571,ChesMMAP_Survey,VIMS,Jul-Nov
126,CB,Black_seabass,2005,0.00054668132521,,,6.1779910107,0.19407692308,0.13,ChesMMAP_Survey,VIMS,Jul-Nov
127,CB,Black_seabass,2006,0.0005778673939,,,9.0859718471,0.15542105263,0.075578947368,ChesMMAP_Survey,VIMS,Jul-Nov
128,CB,Black_seabass,2007,0.0012427512753,,,21.179201804,0.15531818182,0.068818181818,ChesMMAP_Survey,VIMS,Jul-Nov
129,CB,Black_seabass,2008,0.0004466931123,,,6.7295979691,0.17246666667,0.093428571429,ChesMMAP_Survey,VIMS,Jul-Nov
130,CB,Black_seabass,2009,0.0012893393582,,,21.42164407,0.14445454545,0.060212121212,ChesMMAP_Survey,VIMS,Jul-Nov
131,CB,Black_seabass,2010,0.00070781147579,,,10.85190361,0.129,0.036466666667,ChesMMAP_Survey,VIMS,Jul-Nov
132,CB,Blackcheek_tonguefish,1988,,,,1.116031888,0.137,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
133,CB,Blackcheek_tonguefish,1989,,,,0.85198360197,0.1246,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
134,CB,Blackcheek_tonguefish,1990,,,,1.5403491499,0.1218,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
135,CB,Blackcheek_tonguefish,1991,,,,0.84317243501,0.1344,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
136,CB,Blackcheek_tonguefish,1992,,,,0.71855718156,0.1356,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
137,CB,Blackcheek_tonguefish,1993,,,,0.23090658711,0.1378,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
138,CB,Blackcheek_tonguefish,1994,,,,0.25344075201,0.1188,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
139,CB,Blackcheek_tonguefish,1995,,,,0.060946371486,0.1314,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
140,CB,Blackcheek_tonguefish,1996,,,,0.25282414731,0.1297,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
141,CB,Blackcheek_tonguefish,1997,,,,0.28090905612,0.1302,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
142,CB,Blackcheek_tonguefish,1998,,,,1.0819697917,0.1293,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
143,CB,Blackcheek_tonguefish,1999,,,,1.0483815385,0.1329,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
144,CB,Blackcheek_tonguefish,2000,,,,0.24551236792,0.1486,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
145,CB,Blackcheek_tonguefish,2001,,,,0.97844100852,0.1206,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
146,CB,Blackcheek_tonguefish,2002,,,,0.4542932291,0.1363,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
147,CB,Blackcheek_tonguefish,2003,,,,0.10752227234,0.128,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
148,CB,Blackcheek_tonguefish,2004,,,,0.15125763326,0.1376,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
149,CB,Blackcheek_tonguefish,2005,,,,0.49535533733,0.1286,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
150,CB,Blackcheek_tonguefish,2006,,,,0.69913262754,0.1322,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
151,CB,Blackcheek_tonguefish,2007,,,,2.6016396226,0.1226,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
152,CB,Blackcheek_tonguefish,2008,,,,0.97680076052,0.1313,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
153,CB,Blackcheek_tonguefish,2009,,,,1.0583951725,0.129,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
154,CB,Blue_catfish_age-1+,1988,,,,0.02,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
155,CB,Blue_catfish_age-1+,1989,,,,0.1,0.2601,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
156,CB,Blue_catfish_age-1+,1990,,,,0.26,0.2154,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
157,CB,Blue_catfish_age-1+,1991,,,,0.85,0.2503,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
158,CB,Blue_catfish_age-1+,1992,,,,1.22,0.2321,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
159,CB,Blue_catfish_age-1+,1993,,,,0.47,0.2241,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
160,CB,Blue_catfish_age-1+,1994,,,,0.52,0.2322,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
161,CB,Blue_catfish_age-1+,1995,,,,0.48,0.2383,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
162,CB,Blue_catfish_age-1+,1996,,,,1.38,0.2421,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
163,CB,Blue_catfish_age-1+,1997,,,,3.85,0.2241,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
164,CB,Blue_catfish_age-1+,1998,,,,1.99,0.2543,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
165,CB,Blue_catfish_age-1+,1999,,,,1.06,0.2747,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
166,CB,Blue_catfish_age-1+,2000,,,,0.88,0.276,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
167,CB,Blue_catfish_age-1+,2001,,,,0.55,0.3016,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
168,CB,Blue_catfish_age-1+,2002,,,,0.96,0.2838,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
169,CB,Blue_catfish_age-1+,2003,,,,1.81,0.2916,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
170,CB,Blue_catfish_age-1+,2004,,,,2.62,0.269,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
171,CB,Blue_catfish_age-1+,2005,,,,5.96,0.279,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
172,CB,Blue_catfish_age-1+,2006,,,,4.43,0.2801,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
173,CB,Blue_catfish_age-1+,2007,,,,4.79,0.2978,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
174,CB,Blue_catfish_age-1+,2008,,,,2.89,0.3131,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
175,CB,Blue_catfish_age-1+,2009,,,,3.03,0.295,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
176,CB,Blue_catfish_YOY,1988,,,,0.0,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
177,CB,Blue_catfish_YOY,1989,,,,0.43,0.1222,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
178,CB,Blue_catfish_YOY,1990,,,,0.14,0.1306,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
179,CB,Blue_catfish_YOY,1991,,,,0.39,0.1545,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
180,CB,Blue_catfish_YOY,1992,,,,0.36,0.1412,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
181,CB,Blue_catfish_YOY,1993,,,,0.18,0.129,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
182,CB,Blue_catfish_YOY,1994,,,,0.17,0.1383,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
183,CB,Blue_catfish_YOY,1995,,,,0.64,0.1157,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
184,CB,Blue_catfish_YOY,1996,,,,0.92,0.1226,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
185,CB,Blue_catfish_YOY,1997,,,,2.4,0.1315,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
186,CB,Blue_catfish_YOY,1998,,,,0.31,0.1464,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
187,CB,Blue_catfish_YOY,1999,,,,0.14,0.1582,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
188,CB,Blue_catfish_YOY,2000,,,,0.22,0.1153,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
189,CB,Blue_catfish_YOY,2001,,,,0.02,0.1675,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
190,CB,Blue_catfish_YOY,2002,,,,0.61,0.1204,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
191,CB,Blue_catfish_YOY,2003,,,,1.33,0.0942,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
192,CB,Blue_catfish_YOY,2004,,,,1.82,0.1257,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
193,CB,Blue_catfish_YOY,2005,,,,2.59,0.1478,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
194,CB,Blue_catfish_YOY,2006,,,,1.52,0.1341,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
195,CB,Blue_catfish_YOY,2007,,,,0.6,0.151,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
196,CB,Blue_catfish_YOY,2008,,,,0.54,0.1288,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
197,CB,Blue_catfish_YOY,2009,,,,0.88,0.1195,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
198,CB,Blue_crab_female,1988,,,,4.84,0.1475,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
199,CB,Blue_crab_female,1989,,,,4.89,0.1463,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
200,CB,Blue_crab_female,1990,,,,8.39,0.1457,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
201,CB,Blue_crab_female,1991,,,,2.73,0.1467,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
202,CB,Blue_crab_female,1992,,,,0.85,0.1451,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
203,CB,Blue_crab_female,1993,,,,1.38,0.1408,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
204,CB,Blue_crab_female,1994,,,,0.84,0.1328,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
205,CB,Blue_crab_female,1995,,,,0.38,0.1388,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
206,CB,Blue_crab_female,1996,,,,1.4,0.1389,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
207,CB,Blue_crab_female,1997,,,,0.88,0.1388,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
208,CB,Blue_crab_female,1998,,,,0.34,0.1392,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
209,CB,Blue_crab_female,1999,,,,0.51,0.1385,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
210,CB,Blue_crab_female,2000,,,,0.46,0.1411,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
211,CB,Blue_crab_female,2001,,,,0.48,0.1438,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
212,CB,Blue_crab_female,2002,,,,0.39,0.1444,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
213,CB,Blue_crab_female,2003,,,,0.32,0.1446,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
214,CB,Blue_crab_female,2004,,,,0.37,0.1435,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
215,CB,Blue_crab_female,2005,,,,0.36,0.1424,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
216,CB,Blue_crab_female,2006,,,,0.25,0.1448,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
217,CB,Blue_crab_female,2007,,,,0.22,0.1466,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
218,CB,Blue_crab_female,2008,,,,0.86,0.1458,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
219,CB,Blue_crab_female,2009,,,,0.37,0.1486,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
220,CB,Blue_crab_female,2010,,,,0.69,0.1448,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
221,CB,Blue_crab_female,2002,0.13413429026,,,987.85250132,0.1451018018,0.14177723178,ChesMMAP_Survey,VIMS,Nov
222,CB,Blue_crab_female,2003,0.09315881732,,,817.33324341,0.14822799423,0.14401713201,ChesMMAP_Survey,VIMS,Nov
223,CB,Blue_crab_female,2004,0.066951098825,,,446.14060705,0.14518575851,0.1400550199,ChesMMAP_Survey,VIMS,Nov
